2,21,31,43,47,27
25,28,29,37,42,18
6,11,18,32,43,26
7,12,20,21,40,11
12,15,19,20,28,21
9,20,30,37,41,5
5,7,8,10,29,16
1,3,19,36,45,8
13,15,17,29,41,10
9,16,25,45,47,5
7,21,26,28,30,10
2,12,15,25,47,13
17,23,34,41,43,11
8,19,24,26,36,25
8,21,31,40,42,2
2,13,20,25,37,15
28,32,33,34,45,21
14,24,28,35,40,19
11,18,21,30,34,6
2,4,6,7,18,8
11,13,17,24,47,10
2,8,12,15,22,12
1,34,37,39,41,10
1,19,32,41,42,11
3,5,16,25,37,16
1,2,18,34,43,27
11,24,26,36,38,13
8,12,25,33,45,5
2,13,19,39,46,26
10,15,33,34,37,8
1,30,33,43,46,9
16,18,23,40,46,4
2,13,25,32,45,23
4,8,25,29,38,13
2,5,11,12,30,24
2,5,16,31,35,14
15,30,34,41,45,20
1,16,27,33,46,25
12,22,28,31,42,2
12,15,37,42,43,8
8,21,38,43,44,24
17,23,29,37,46,17
7,27,33,42,44,24
7,15,31,32,47,24
1,2,34,37,42,9
1,12,19,29,34,12
4,6,22,32,45,8
15,16,28,33,38,23
6,13,30,31,45,2
4,18,21,33,39,7
22,23,26,38,42,3
21,22,25,28,43,12
2,17,33,35,41,9
3,8,10,16,22,11
2,7,22,27,32,12
5,7,39,46,47,6
15,20,25,40,41,20
21,27,34,39,45,22
13,29,33,37,40,9
2,18,25,32,46,15
2,28,35,44,47,21
27,32,35,45,46,21
15,25,29,30,37,26
3,5,13,15,21,9
6,13,24,29,44,3
2,8,14,29,43,24
4,26,31,35,45,4
7,12,14,16,37,14
9,15,18,32,36,27
7,11,15,20,34,2
7,15,34,41,42,8
13,30,39,42,47,5
2,22,27,31,32,11
6,7,17,21,25,8
12,24,32,34,35,23
6,16,31,42,45,6
14,17,20,34,44,18
7,9,17,28,42,7
2,16,19,31,40,10
12,20,30,38,40,7
1,19,21,25,46,23
10,14,29,38,47,8
4,6,15,16,42,16
1,6,13,45,47,16
13,18,19,23,25,20
9,10,28,29,33,26
3,13,21,25,36,1
4,5,21,23,27,23
5,7,11,18,33,25
4,6,15,35,41,19
2,5,15,28,43,11
9,16,27,34,45,21
